YEAR,MONTH,n,summer
2003,1,96,No
2003,2,71,No
2003,3,76,No
2003,4,97,No
2003,5,114,No
2003,6,154,Yes
2003,7,191,Yes
2003,8,192,Yes
2003,9,158,No
2003,10,144,No
2003,11,74,No
2003,12,51,No
2004,1,42,No
2004,2,57,No
2004,3,100,No
2004,4,93,No
2004,5,109,No
2004,6,124,Yes
2004,7,198,Yes
2004,8,155,Yes
2004,9,130,No
2004,10,107,No
2004,11,71,No
2004,12,44,No
2005,1,51,No
2005,2,53,No
2005,3,83,No
2005,4,75,No
2005,5,133,No
2005,6,153,Yes
2005,7,162,Yes
2005,8,197,Yes
2005,9,180,No
2005,10,159,No
2005,11,106,No
2005,12,64,No
2006,1,66,No
2006,2,82,No
2006,3,93,No
2006,4,79,No
2006,5,103,No
2006,6,197,Yes
2006,7,242,Yes
2006,8,222,Yes
2006,9,134,No
2006,10,128,No
2006,11,67,No
2006,12,54,No
2007,1,57,No
2007,2,56,No
2007,3,71,No
2007,4,82,No
2007,5,108,No
2007,6,137,Yes
2007,7,169,Yes
2007,8,197,Yes
2007,9,130,No
2007,10,105,No
2007,11,46,No
2007,12,45,No
2008,1,44,No
2008,2,46,No
2008,3,61,No
2008,4,79,No
2008,5,134,No
2008,6,119,Yes
2008,7,178,Yes
2008,8,155,Yes
2008,9,159,No
2008,10,119,No
2008,11,56,No
2008,12,26,No
2009,1,29,No
2009,2,52,No
2009,3,43,No
2009,4,127,No
2009,5,186,No
2009,6,167,Yes
2009,7,285,Yes
2009,8,310,Yes
2009,9,183,No
2009,10,110,No
2009,11,88,No
2009,12,61,No
2010,1,52,No
2010,2,68,No
2010,3,89,No
2010,4,127,No
2010,5,143,No
2010,6,139,Yes
2010,7,231,Yes
2010,8,304,Yes
2010,9,222,No
2010,10,169,No
2010,11,77,No
2010,12,47,No
2011,1,39,No
2011,2,47,No
2011,3,58,No
2011,4,84,No
2011,5,99,No
2011,6,175,Yes
2011,7,297,Yes
2011,8,249,Yes
2011,9,171,No
2011,10,142,No
2011,11,93,No
2011,12,63,No
2012,1,76,No
2012,2,93,No
2012,3,91,No
2012,4,111,No
2012,5,174,No
2012,6,170,Yes
2012,7,251,Yes
2012,8,290,Yes
2012,9,237,No
2012,10,181,No
2012,11,79,No
2012,12,64,No
2013,1,69,No
2013,2,70,No
2013,3,135,No
2013,4,153,No
2013,5,183,No
2013,6,256,Yes
2013,7,271,Yes
2013,8,338,Yes
2013,9,197,No
2013,10,162,No
2013,11,121,No
2013,12,79,No
2014,1,116,No
2014,2,72,No
2014,3,89,No
2014,4,169,No
2014,5,218,No
2014,6,296,Yes
2014,7,415,Yes
2014,8,347,Yes
2014,9,309,No
2014,10,226,No
2014,11,124,No
2014,12,80,No
2015,1,87,No
2015,2,90,No
2015,3,126,No
2015,4,187,No
2015,5,282,No
2015,6,411,Yes
2015,7,521,Yes
2015,8,437,Yes
2015,9,340,No
2015,10,306,No
2015,11,156,No
2015,12,121,No
2016,1,108,No
2016,2,107,No
2016,3,140,No
2016,4,217,No
2016,5,414,No
2016,6,391,Yes
2016,7,313,Yes
2016,8,340,Yes
2016,9,244,No
2016,10,171,No
2016,11,129,No
2016,12,63,No
2017,1,62,No
2017,2,71,No
2017,3,116,No
2017,4,129,No
2017,5,218,No
2017,6,277,Yes
2017,7,334,Yes
2017,8,344,Yes
2017,9,274,No
2017,10,194,No
2017,11,110,No
2017,12,67,No
